Age,Temperature
Deuterium,Temperature
,
,
,
,
,
,
,
,
,
,
,
,
-393.7,-0.64
-392.9,-0.51
-391.4,-0.27
-384.5,0.86
-394.4,-0.77
-394.8,-0.84
-395.8,-1.01
-396.2,-1.08
-395.4,-0.96
-391.7,-0.35
-390.9,-0.22
-388,0.25
-392.6,-0.51
-397.7,-1.36
-394.3,-0.80
-391.4,-0.33
-387.7,0.28
-395.2,-0.96
-400.3,-1.81
-393.3,-0.66
-390,-0.12
-390.9,-0.27
-387.4,0.30
-389.7,-0.08
-398,-1.45
-396.1,-1.14
-392,-0.47
-397.7,-1.41
-398.9,-1.62
-394.7,-0.93
-386.8,0.37
-385.8,0.53
-387.9,0.18
-390.7,-0.29
-402,-2.15
-392.6,-0.61
-390.8,-0.32
-394.6,-0.95
-381,1.29
-382.1,1.11
-399.5,-1.77
-393.5,-0.78
-398.4,-1.59
-393.4,-0.77
-390.9,-0.37
-386.1,0.42
-387.8,0.14
-383.8,0.79
-386.9,0.28
-393,-0.73
-396.6,-1.33
-394.1,-0.92
-395.5,-1.16
-395.4,-1.15
-389.6,-0.19
-394.8,-1.05
-388.3,0.01
-394.8,-1.06
-387.9,0.07
-396.1,-1.29
-391.3,-0.50
-393.6,-0.88
-387.8,0.07
-396.1,-1.30
-403.2,-2.48
-399.4,-1.85
-400.8,-2.09
-399.4,-1.86
-400.9,-2.11
-399.2,-1.84
-404.9,-2.78
-404,-2.64
-398.2,-1.69
-400,-1.99
-399.8,-1.96
-406.2,-3.02
-403.5,-2.57
-405.5,-2.91
-414.8,-4.44
-406.2,-3.03
-405.8,-2.97
-410.9,-3.81
-403.7,-2.63
-400.6,-2.12
-409.6,-3.61
-401.2,-2.23
-413.3,-4.23
-414.3,-4.40
-408.8,-3.49
-417.4,-4.91
-406.8,-3.17
-404.3,-2.76
-412.4,-4.10
-412.6,-4.14
-410.9,-3.86
-420.8,-5.50
-417.2,-4.91
-418.8,-5.17
-415.6,-4.65
-418.6,-5.15
-410.9,-3.88
-413.7,-4.35
-412.7,-4.19
-419.3,-5.28
-420.8,-5.53
-412.1,-4.10
-416,-4.74
-408.8,-3.56
-413.9,-4.41
-416.4,-4.82
-417.7,-5.04
-414.9,-4.58
-410.4,-3.85
-411.6,-4.05
-415,-4.61
-418.4,-5.17
-415.5,-4.70
-412.9,-4.27
-408,-3.47
-410.8,-3.94
-414.8,-4.60
-408.7,-3.60
-408.5,-3.57
-411.8,-4.12
-412.8,-4.28
-419,-5.31
-417.5,-5.06
-414,-4.49
-416.6,-4.92
-410.8,-3.97
-403.4,-2.76
-413.7,-4.46
-410.2,-3.88
-415.9,-4.83
-416.8,-4.98
