 Gasage  (yr  BP)   , CO2  (ppmv) , Location 
 116.82279999999992 , 283.82039231033946 , Law  Dome  (Rubino  et  al.,  2013) 
 117.12622381999995 , 285.0861666968484 , Law  Dome  (Rubino  et  al.,  2013) 
 123.07770000000005 , 285.90893992625405 , Law  Dome  (Rubino  et  al.,  2013) 
 125.25500000000011 , 281.3603652847592 , Law  Dome  (Rubino  et  al.,  2013) 
 136.34030000000007 , 284.43128758236145 , Law  Dome  (Rubino  et  al.,  2013) 
 150.6636000000001 , 282.7995518984052 , Law  Dome  (Rubino  et  al.,  2013) 
 153.5284999999999 , 280.40443666000317 , Law  Dome  (Rubino  et  al.,  2013) 
 154.05649999999991 , 282.3047106620081 , Law  Dome  (Rubino  et  al.,  2013) 
 155.9034999999999 , 281.61711795078935 , Law  Dome  (Rubino  et  al.,  2013) 
 169.70010000000002 , 273.07371696468044 , Law  Dome  (Rubino  et  al.,  2013) 
 170.5109 , 280.23629818436876 , Law  Dome  (Rubino  et  al.,  2013) 
 176.54449999999997 , 277.8559524780317 , Law  Dome  (Rubino  et  al.,  2013) 
 186.30320000000006 , 276.3961020284933 , Law  Dome  (Rubino  et  al.,  2013) 
 187.1217999999999 , 277.15568662096365 , Law  Dome  (Rubino  et  al.,  2013) 
 197.87059999999997 , 278.00200109884094 , Law  Dome  (Rubino  et  al.,  2013) 
 198.0684000000001 , 276.4573287163011 , Law  Dome  (Rubino  et  al.,  2013) 
 200.88010000000008 , 277.6000738939942 , Law  Dome  (Rubino  et  al.,  2013) 
 208.7428 , 276.8090000432731 , Law  Dome  (Rubino  et  al.,  2013) 
 216.12799999999993 , 278.3109424912346 , Law  Dome  (Rubino  et  al.,  2013) 
 226.99260000000004 , 277.01330979867544 , Law  Dome  (Rubino  et  al.,  2013) 
 227.13560000000007 , 278.27011023020174 , Law  Dome  (Rubino  et  al.,  2013) 
 255.93360000000007 , 277.35805088594464 , Law  Dome  (Rubino  et  al.,  2013) 
 260.2585999999999 , 276.3246167739362 , Law  Dome  (Rubino  et  al.,  2013) 
 268.10570000000007 , 276.6596678045921 , Law  Dome  (Rubino  et  al.,  2013) 
 300.9031 , 278.0152295252318 , Law  Dome  (Rubino  et  al.,  2013) 
